更新区分,品目コード,品名,品名カナ,JANコード,発注コード,基本品目,ブランド名称,販売単価,受注数,単品単位数量単位,入数,メーカーコード,メーカー名,大分類,大分類テキスト,中分類,中分類テキスト,小分類,小分類テキスト,原産国（名称）,質量,質量単位,特長,用途,仕様,仕様２,材質／仕上,セット内容／付属品,注意,後継品,送料無料フラグ,税区分,税率
I,K000004343,アソー(株) ASOH   エースボール RV(黄銅製) 7000シリーズ (ストレート型) BC ワンタッチ接続型 BC-7310R K000004343,エースボール RV(オウドウセイ) 7000シリーズ (ストレートガタ) BC ワンタッチセツゾクガタ BC-7310R,,K000004343,,ASOH,4070,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,546,エースボール RV（黄銅製） 7000シリーズ （ストレート型） BC ワンタッチ接続型,日本,118,g,一次側がテーパー(PT)外ネジ、二次側はウレタンチューブやナイロンチューブに続可能なバルブ。【特長】・二次側はウレタンチューブやナイロンチューブにワンタッチで接続可能。・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。・狭い場所でも簡単に接続。■【用途】・狭い場所での接続に便利。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:3/8B(10A)/二次側(制御側)接続種類D:[樹脂チューブ接続] ワンタッチ接続型/二次側(制御側)チューブ外径D(φ):10/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行7×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004393,アソー(株) ASOH   エースボール RV(黄銅製) 7000シリーズ (ストレート型) BH ホースニップル一体型 BH-7106R K000004393,エースボール RV(オウドウセイ) 7000シリーズ (ストレートガタ) BH ホースニップルイッタイガタ BH-7106R,,K000004393,,ASOH,3110,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,547,エースボール RV（黄銅製） 7000シリーズ （ストレート型） BH ホースニップル一体型,日本,85,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。・狭い場所でも簡単に接続可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/8B(6A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):6/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行7.3×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,M000000214,アソー(株) ASOH   エースボール RV(黄銅製) 7000シリーズ (ストレート型) BH ホースニップル一体型 BH-7208R M000000214,エースボール RV(オウドウセイ) 7000シリーズ (ストレートガタ) BH ホースニップルイッタイガタ BH-7208R,,M000000214,,ASOH,2840,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,547,エースボール RV（黄銅製） 7000シリーズ （ストレート型） BH ホースニップル一体型,日本,90,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。・狭い場所でも簡単に接続可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/4B(8A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):8/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行7.5×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004394,アソー(株) ASOH   エースボール RV(黄銅製) 7000シリーズ (ストレート型) BH ホースニップル一体型 BH-7209R K000004394,エースボール RV(オウドウセイ) 7000シリーズ (ストレートガタ) BH ホースニップルイッタイガタ BH-7209R,,K000004394,,ASOH,3110,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,547,エースボール RV（黄銅製） 7000シリーズ （ストレート型） BH ホースニップル一体型,日本,91,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。・狭い場所でも簡単に接続可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/4B(8A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):9/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行7.5×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,M000000215,アソー(株) ASOH   エースボール RV(黄銅製) 7000シリーズ (ストレート型) BH ホースニップル一体型 BH-7310R M000000215,エースボール RV(オウドウセイ) 7000シリーズ (ストレートガタ) BH ホースニップルイッタイガタ BH-7310R,,M000000215,,ASOH,2940,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,547,エースボール RV（黄銅製） 7000シリーズ （ストレート型） BH ホースニップル一体型,日本,103,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。・狭い場所でも簡単に接続可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:3/8B(10A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):10.5/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行7.7×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004431,アソー(株) ASOH   エースボール RV(黄銅製) 7000シリーズ (ストレート型) BR 銅管用リング型 BR-7106 K000004431,エースボール RV(オウドウセイ) 7000シリーズ (ストレートガタ) BR ドウカンヨウリングガタ BR-7106,,K000004431,,ASOH,3220,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,548,エースボール RV（黄銅製） 7000シリーズ （ストレート型） BR 銅管用リング型,日本,105,g,一次側がテーパー(PT)外ネジ、二次側はリング式の銅管固定用ボールバルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/8B(6A)/二次側(制御側)接続種類D:[金属管接続] 銅管用リング型/二次側(制御側)適用管外径D(φ):6/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅] C3771BE,,本体サイズ：幅1.7×奥行6.7×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004432,アソー(株) ASOH   エースボール RV(黄銅製) 7000シリーズ (ストレート型) BR 銅管用リング型 BR-7208 K000004432,エースボール RV(オウドウセイ) 7000シリーズ (ストレートガタ) BR ドウカンヨウリングガタ BR-7208,,K000004432,,ASOH,3220,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,548,エースボール RV（黄銅製） 7000シリーズ （ストレート型） BR 銅管用リング型,日本,108,g,一次側がテーパー(PT)外ネジ、二次側はリング式の銅管固定用ボールバルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/4B(8A)/二次側(制御側)接続種類D:[金属管接続] 銅管用リング型/二次側(制御側)適用管外径D(φ):8/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅] C3771BE,,本体サイズ：幅1.7×奥行6.8×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004433,アソー(株) ASOH   エースボール RV(黄銅製) 7000シリーズ (ストレート型) BR 銅管用リング型 BR-7310 K000004433,エースボール RV(オウドウセイ) 7000シリーズ (ストレートガタ) BR ドウカンヨウリングガタ BR-7310,,K000004433,,ASOH,3320,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,548,エースボール RV（黄銅製） 7000シリーズ （ストレート型） BR 銅管用リング型,日本,131,g,一次側がテーパー(PT)外ネジ、二次側はリング式の銅管固定用ボールバルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:3/8B(10A)/二次側(制御側)接続種類D:[金属管接続] 銅管用リング型/二次側(制御側)適用管外径D(φ):10/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅] C3771BE,,本体サイズ：幅2.1×奥行7×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,M000000173,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BC ワンタッチ接続型 BC-8106R M000000173,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BC ワンタッチセツゾクガタ BC-8106R,,M000000173,,ASOH,3620,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,549,エースボール RV（黄銅製） 8000シリーズ （アングル型） BC ワンタッチ接続型,日本,99,g,一次側がテーパー(PT)外ネジ、二次側はウレタンチューブやナイロンチューブに接続可能なボールバルブ 。【特長】・ワンタッチで接続可能。・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■【用途】・狭い場所での接続に便利。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/8B(6A)/二次側(制御側)接続種類D:[樹脂チューブ接続] ワンタッチ接続型/二次側(制御側)チューブ外径D(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行3.1×高さ6.6㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,M000000174,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BC ワンタッチ接続型 BC-8208R M000000174,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BC ワンタッチセツゾクガタ BC-8208R,,M000000174,,ASOH,3720,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,549,エースボール RV（黄銅製） 8000シリーズ （アングル型） BC ワンタッチ接続型,日本,102,g,一次側がテーパー(PT)外ネジ、二次側はウレタンチューブやナイロンチューブに接続可能なボールバルブ 。【特長】・ワンタッチで接続可能。・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■【用途】・狭い場所での接続に便利。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/4B(8A)/二次側(制御側)接続種類D:[樹脂チューブ接続] ワンタッチ接続型/二次側(制御側)チューブ外径D(φ):8/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行3.1×高さ6.6㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
